Restaurant ID,Restaurant Name,Category,City,Area,Longitude,Latitude,Image,Min Price,Max Price
1,30 North,Cafe,Alexandria,Gleem,29.901193,31.186937,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203176/SmartEgypt_Restaurants/uo9jpgklkmz8hktkpycc.jpg,60,1400
2,Indira,Asian Cuisine,Alexandria,Montaza,29.920624,31.206004,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203177/SmartEgypt_Restaurants/ciuys6w5s55x3i8wudo1.jpg,115,3575
3,Paul,Bakery,Alexandria,Sidi Gaber,29.9064,31.189993,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203178/SmartEgypt_Restaurants/v6lloyjtvvycdk8dajzn.jpg,39,1099
4,Tabla Luna,Latin American,Alexandria,Gleem,29.914564,31.181569,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203179/SmartEgypt_Restaurants/piprzt7ag1mbggopv6un.jpg,12,485
5,Mori Sushi,Asian Cuisine,Alexandria,Stanley,29.906512,31.196692,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203180/SmartEgypt_Restaurants/vdjeikohdqjfm65mg0x6.jpg,42,1725
6,Caracas,Lebanese,Alexandria,Smouha,29.899615,31.202856,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203181/SmartEgypt_Restaurants/h2qrpx3tghlecwrkrblg.jpg,62,550
7,Cilantro,Cafe,Alexandria,Sidi Gaber,29.925982,31.194523,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203181/SmartEgypt_Restaurants/ksbxiaseoxhjhcrnks50.jpg,59,165
8,Paul,Bakery,Alexandria,Smouha,29.938694,31.193896,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203182/SmartEgypt_Restaurants/zetaepjhxmkzevwlyyzr.jpg,39,1099
9,Maison Thomas,Italian,Alexandria,Stanley,29.920036,31.19827,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203183/SmartEgypt_Restaurants/sjyiangkasvqze9h2gnw.webp,47,740
10,Costa Coffee,Cafe,Alexandria,Sidi Gaber,29.902828,31.190619,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203184/SmartEgypt_Restaurants/k1ub7mfoqqwzkkx6thaq.jpg,40,220
11,Abou Haidar,Sandwiches,Alexandria,Smouha,29.902477,31.181833,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203184/SmartEgypt_Restaurants/ah0wjzqmjsgbpsngvijm.jpg,10,330
12,Tamara,Lebanese,Alexandria,Gleem,29.922988,31.201059,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203185/SmartEgypt_Restaurants/fwbggddreuep4ehgerwn.jpg,30,1650
13,The Lemon Tree,Mediterranean,Alexandria,Smouha,29.902304,31.198907,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203186/SmartEgypt_Restaurants/z88lvdbe4hg59pxyfnte.jpg,280,2780
14,Indira,Asian Cuisine,Alexandria,Sidi Gaber,29.900229,31.193295,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203187/SmartEgypt_Restaurants/uewsnf982foscwnuepn1.jpg,115,3575
15,Cilantro,Cafe,Alexandria,Sidi Gaber,29.902939,31.191731,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203187/SmartEgypt_Restaurants/yklxhefikoe7rk1rjete.jpg,59,165
16,Spectra,Casual Dining,Alexandria,Gleem,29.919394,31.219172,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203188/SmartEgypt_Restaurants/nsmkpmvc8d8frtdrrsu6.jpg,80,1990
17,Fuddruckers,Burgers,Alexandria,Sidi Gaber,29.908669,31.205421,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203189/SmartEgypt_Restaurants/mygfulirpab205esjqvu.jpg,30,1020
18,Chicken Fil-A,Fried Chicken,Alexandria,Montaza,29.938252,31.217141,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203190/SmartEgypt_Restaurants/tilizuwkpsntfzj5czid.jpg,15,177
19,Makani,Grill,Alexandria,Sidi Gaber,29.918651,31.18915,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203191/SmartEgypt_Restaurants/lmv0v5cswkzdmqzt82d1.png,15,320
20,Maison Thomas,Italian,Alexandria,Smouha,29.923704,31.197543,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203192/SmartEgypt_Restaurants/ne5vgtn5iy80vmdxilrb.webp,47,740
21,Paul,Bakery,Alexandria,Gleem,29.923633,31.193364,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203192/SmartEgypt_Restaurants/rpzqsjrcfe75mmz6u7wl.jpg,39,1099
22,Spectra,Casual Dining,Alexandria,Stanley,29.928769,31.186072,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203193/SmartEgypt_Restaurants/tkloutoa96p4duc4ugsc.jpg,80,1990
23,El Doksh,Seafood,Alexandria,Stanley,29.908066,31.18312,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203195/SmartEgypt_Restaurants/om3kimoooloft8mqt6w0.png,44,645
24,Paul,Bakery,Alexandria,Sidi Gaber,29.925294,31.190319,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203196/SmartEgypt_Restaurants/hytxbkudkjmyejkarpkq.jpg,39,1099
25,Le Pacha 1901,Fine Dining,Alexandria,Stanley,29.911782,31.215281,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203196/SmartEgypt_Restaurants/vwtjqq6l1jot5dbyntsl.jpg,17,262
26,Buffalo Burger,Burgers,Alexandria,Montaza,29.928613,31.190286,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203197/SmartEgypt_Restaurants/rsfguglxyghvldadoj68.jpg,45,807
27,Lucille’s,American Diner,Alexandria,Smouha,29.921642,31.217081,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203198/SmartEgypt_Restaurants/wyzsjoyig9pzwbknw8hw.jpg,45,832
28,Abou Haidar,Sandwiches,Alexandria,Sidi Gaber,29.917435,31.182461,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203199/SmartEgypt_Restaurants/q9qn0pgt3ejikeb3pyua.jpg,10,330
29,Cilantro,Cafe,Alexandria,Smouha,29.916099,31.201592,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203199/SmartEgypt_Restaurants/klpxepaqrw9ib6scqznt.jpg,59,165
30,Spectra,Casual Dining,Alexandria,Gleem,29.92027,31.210682,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203200/SmartEgypt_Restaurants/nbg1rbkicwmyj5ftl3ia.jpg,80,1990
31,Le Pacha 1901,Fine Dining,Alexandria,Gleem,29.912763,31.206817,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203200/SmartEgypt_Restaurants/uckogsaguykpsgpr4fg9.jpg,17,262
32,El Doksh,Seafood,Alexandria,Stanley,29.93069,31.199336,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203201/SmartEgypt_Restaurants/yeat4pcuzfxqx9qajzky.png,44,645
33,Buffalo Burger,Burgers,Alexandria,Sidi Gaber,29.937571,31.184217,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203202/SmartEgypt_Restaurants/ameagb63gpcddk6gvduv.jpg,45,807
34,Crave,International,Alexandria,Smouha,29.90812,31.200566,https://res.cloudinary.com/dmochfrtr/image/upload/v1781203203/SmartEgypt_Restaurants/kiea9yxxxjq81x45dotn.jpg,61,1750
